,Close
2016-05-09/2016-05-15,21.37133369445801
2016-05-16/2016-05-22,21.06466636657715
2016-05-23/2016-05-29,21.691999435424805
2016-05-30/2016-06-05,21.833333206176757
2016-06-06/2016-06-12,21.76533317565918
2016-06-13/2016-06-19,21.571332931518555
2016-06-20/2016-06-26,21.104000091552734
2016-06-27/2016-07-03,21.170666885375976
2016-07-04/2016-07-10,21.65999984741211
2016-07-11/2016-07-17,22.38599967956543
2016-07-18/2016-07-24,22.57133331298828
2016-07-25/2016-07-31,23.293999481201173
2016-08-01/2016-08-07,23.78400001525879
2016-08-08/2016-08-14,23.41533317565918
2016-08-15/2016-08-21,23.355999755859376
2016-08-22/2016-08-28,23.495333862304687
2016-08-29/2016-09-04,23.79733352661133
2016-09-05/2016-09-11,23.550666427612306
2016-09-12/2016-09-18,23.081333541870116
2016-09-19/2016-09-25,23.33266677856445
2016-09-26/2016-10-02,22.67555554707845
2016-10-03/2016-10-09,22.33933334350586
2016-10-10/2016-10-16,22.193333435058594
2016-10-17/2016-10-23,22.059999847412108
2016-10-24/2016-10-30,21.69266700744629
2016-10-31/2016-11-06,21.33933296203613
2016-11-07/2016-11-13,22.087333297729494
2016-11-14/2016-11-20,21.642000579833983
2016-11-21/2016-11-27,21.8613338470459
2016-11-28/2016-12-04,21.40466651916504
2016-12-05/2016-12-11,22.358666610717773
2016-12-12/2016-12-18,22.86533317565918
2016-12-19/2016-12-25,22.505333709716798
2016-12-26/2017-01-01,22.40499973297119
2017-01-02/2017-01-08,22.50800018310547
2017-01-09/2017-01-15,22.520000076293947
2017-01-16/2017-01-22,22.424666595458984
2017-01-23/2017-01-29,22.720000076293946
2017-01-30/2017-02-05,23.36533317565918
2017-02-06/2017-02-12,23.123333358764647
2017-02-13/2017-02-19,23.705333328247068
2017-02-20/2017-02-26,23.80133399963379
2017-02-27/2017-03-05,23.785333251953126
2017-03-06/2017-03-12,23.670666885375976
2017-03-13/2017-03-19,23.623332977294922
2017-03-20/2017-03-26,23.319333648681642
2017-03-27/2017-04-02,23.061666170756023
2017-04-03/2017-04-09,22.998666763305664
2017-04-10/2017-04-16,22.88400001525879
2017-04-17/2017-04-23,23.158666610717773
2017-04-24/2017-04-30,23.204000091552736
2017-05-01/2017-05-07,22.698666763305663
2017-05-08/2017-05-14,22.35199966430664
2017-05-15/2017-05-21,22.40333366394043
2017-05-22/2017-05-28,22.61866683959961
2017-05-29/2017-06-04,22.534666442871092
2017-06-05/2017-06-11,23.098666381835937
2017-06-12/2017-06-18,23.66999969482422
2017-06-19/2017-06-25,23.370666122436525
2017-06-26/2017-07-02,23.729444185892742
2017-07-03/2017-07-09,23.857999801635746
2017-07-10/2017-07-16,23.764666748046874
2017-07-17/2017-07-23,23.98400001525879
2017-07-24/2017-07-30,24.568667221069337
2017-07-31/2017-08-06,24.93466682434082
2017-08-07/2017-08-13,25.19533348083496
2017-08-14/2017-08-20,25.47400016784668
2017-08-21/2017-08-27,25.20733299255371
2017-08-28/2017-09-03,25.111333084106445
2017-09-04/2017-09-10,24.800666427612306
2017-09-11/2017-09-17,24.892667007446292
2017-09-18/2017-09-24,25.378000259399414
2017-09-25/2017-10-01,25.74388885498047
2017-10-02/2017-10-08,25.644000244140624
2017-10-09/2017-10-15,24.929332733154297
2017-10-16/2017-10-22,24.61866683959961
2017-10-23/2017-10-29,24.267333602905275
2017-10-30/2017-11-05,24.20200004577637
2017-11-06/2017-11-12,24.26866683959961
2017-11-13/2017-11-19,25.28200035095215
2017-11-20/2017-11-26,25.714666748046874
2017-11-27/2017-12-03,26.170000076293945
2017-12-04/2017-12-10,26.15533332824707
2017-12-11/2017-12-17,26.111999893188475
2017-12-18/2017-12-24,25.30800018310547
2017-12-25/2017-12-31,25.470666885375977
2018-01-01/2018-01-07,25.94200019836426
2018-01-08/2018-01-14,26.883333587646483
2018-01-15/2018-01-21,26.81400032043457
2018-01-22/2018-01-28,26.97000045776367
2018-01-29/2018-02-04,27.074666595458986
2018-02-05/2018-02-11,25.585333633422852
2018-02-12/2018-02-18,26.34799995422363
2018-02-19/2018-02-25,26.37466697692871
2018-02-26/2018-03-04,26.95266647338867
2018-03-05/2018-03-11,28.067999649047852
2018-03-12/2018-03-18,28.237333297729492
2018-03-19/2018-03-25,27.647999954223632
2018-03-26/2018-04-01,28.198333104451496
2018-04-02/2018-04-08,28.66066665649414
2018-04-09/2018-04-15,28.63599967956543
2018-04-16/2018-04-22,28.792666244506837
2018-04-23/2018-04-29,29.196666717529297
2018-04-30/2018-05-06,29.26333351135254
2018-05-07/2018-05-13,29.868000030517578
2018-05-14/2018-05-20,30.08199996948242
2018-05-21/2018-05-27,30.666666412353514
2018-05-28/2018-06-03,30.82466697692871
2018-06-04/2018-06-10,31.442666625976564
2018-06-11/2018-06-17,31.695333099365236
2018-06-18/2018-06-24,31.32133369445801
